Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,3.194249,True,stop,1671,0.042537,137,2.91261,47.0368,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""exists"": {
              ""rel"": ""won"",
              ""to"": ""award"",
              ""where"": {
                ""cmp"": {
                  ""left"": { ""attr"": ""category"", ""of"": ""award"" },
                  ""op"": ""="",
                  ""right"": ""Oscar""
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
2,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.185673,True,stop,1671,0.02267,92,1.946776,47.2576,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
3,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.184515,True,stop,1671,0.022877,92,1.945166,47.2967,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
4,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.182743,True,stop,1671,0.022819,92,1.941226,47.3927,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
5,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.182806,True,stop,1671,0.022265,92,1.943939,47.3266,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
6,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.184486,True,stop,1671,0.022442,92,1.94645,47.2655,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
7,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.187557,True,stop,1671,0.022453,92,1.945812,47.281,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
8,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.188544,True,stop,1671,0.022699,92,1.946697,47.2595,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
9,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.179905,True,stop,1671,0.02263,92,1.944519,47.3125,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
10,Q02,Give me the films whose actors won an Oscar,deepseek-r1:8b,False,0.1,2.186284,True,stop,1671,0.02255,92,1.946719,47.259,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""actor"",
          ""to"": ""x"",
          ""where"": {
            ""rel"": ""won"",
            ""to"": ""oscar"",
            ""of"": ""x""
          }
        }
      }
    }
  ]
}
```"
