Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,57.252768,True,stop,1885,0.973649,988,54.697303,18.063,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor_in_film"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""y"",
                ""where"": {
                  ""rel"": ""actor_in_film"",
                  ""to"": ""x""
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
2,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,58.103751,True,stop,1885,0.058365,1018,56.441835,18.0363,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
3,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,61.794264,True,stop,1885,0.057935,1085,60.045826,18.0695,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
4,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,60.455046,True,stop,1885,0.057854,1062,58.746159,18.0778,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor_in_film"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
5,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,51.019783,True,stop,1885,0.058243,892,49.501937,18.0195,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
6,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,59.449584,True,stop,1885,0.062159,1040,57.758046,18.0061,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""entities"": [
          { ""id"": ""e1"", ""type"": ""Person"", ""name"": ""Actor"" }
        ],
        ""where"": {
          ""exists"": {
            ""rel"": ""acted_in"",
            ""to"": ""e1"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
7,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,59.709689,True,stop,1885,0.057306,1046,58.011032,18.0311,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
8,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,50.74615,True,stop,1885,0.061309,887,49.232986,18.0164,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
9,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,54.446721,True,stop,1885,0.05904,955,52.860036,18.0666,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""actor"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
10,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,61.581214,True,stop,1885,0.057594,1081,59.831247,18.0675,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""starring"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won"",
                ""to"": ""award""
              }
            }
          }
        }
      }
    }
  ]
}
```"
11,Q02,Give me the films whose actors won an Oscar,gemma4:e2b,True,0.05,67.405807,True,stop,1885,0.057873,1184,65.551644,18.0621,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Movie"",
        ""where"": {
          ""exists"": {
            ""rel"": ""has_actor"",
            ""to"": ""x"",
            ""where"": {
              ""exists"": {
                ""rel"": ""won_award"",
                ""to"": ""y"",
                ""where"": {
                  ""cmp"": {
                    ""op"": ""="",
                    ""left"": ""Oscar"",
                    ""right"": ""y""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
