Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,68.596991,True,stop,3352,1.633831,1188,65.132561,18.2397,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acted"", ""role"": ""actor"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acted"",
            {
              ""count_id"": ""e_person"",
              ""operator"": "">"",
              ""right"": 4,
              ""and_conditions"": [
                {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_person""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_person""
                  }
                }
              ]
            }
          ]
        }
      }
    ]
  ]
}
```"
2,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,116.699748,False,length,3352,0.063269,2048,113.818715,17.9935,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acts_in"", ""role"": ""acts_in"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acts_in"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                  ""operator"": ""="",
                  ""right"": {
                    ""count_id"": ""e_actor"",
                    ""condition"": {
                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                      ""operator"": ""="",
                      ""right"": {
                        ""count_id"": ""e_actor"",
                        ""condition"": {
                          ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                          ""operator"": ""="",
                          ""right"": {
                            ""count_id"": ""e_actor"",
                            ""condition"": {
                              ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                              ""operator"": ""="",
                              ""right"": {
                                ""count_id"": ""e_actor"",
                                ""condition"": {
                                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                  ""operator"": ""="",
                                  ""right"": {
                                    ""count_id"": ""e_actor"",
                                    ""condition"": {
                                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                      ""operator"": ""="",
                                      ""right"": {
                                        ""count_id"": ""e_actor"",
                                        ""condition"": {
                                          ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                          ""operator"": ""="",
                                          ""right"": {
                                            ""count_id"": ""e_actor"",
                                            ""condition"": {
                                              ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                              ""operator"": ""="",
                                              ""right"": {
                                                ""count_id"": ""e_actor"",
                                                ""condition"": {
                                                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                  ""operator"": ""="",
                                                  ""right"": {
                                                    ""count_id"": ""e_actor"",
                                                    ""condition"": {
                                                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                      ""operator"": ""="",
                                                      ""right"": {
                                                        ""count_id"": ""e_actor"",
                                                        ""condition"": {
                                                          ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                          ""operator"": ""="",
                                                          ""right"": {
                                                            ""count_id"": ""e_actor"",
                                                            ""condition"": {
                                                              ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                              ""operator"": ""="",
                                                              ""right"": {
                                                                ""count_id"": ""e_actor"",
                                                                ""condition"": {
                                                                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                                  ""operator"": ""="",
                                                                  ""right"": {
                                                                    ""count_id"": ""e_actor"",
                                                                    ""condition"": {
                                                                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                                      ""operator"": ""="",
                                                                      ""right"": {
                                                                        ""count_id"": ""e_actor"",
                                                                        ""condition"": {
                                                                          ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                                          ""operator"": ""="",
                                                                          ""right"": {
                                                                            ""count_id"": ""e_actor"",
                                                                            ""condition"": {
                                                                              ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                                                                              ""operator"": ""="",
                                                                              ""right"": {
                                                                                ""count_id"": """
3,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,117.496888,False,length,3352,0.061741,2048,114.630413,17.8661,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acts_in"", ""role"": ""actor"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acts_in"",
            {
              ""count_id"": ""e_person"",
              ""condition"": {
                ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                ""operator"": ""="",
                ""right"": {
                  ""count_id"": ""e_movie"",
                  ""condition"": {
                    ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                    ""operator"": ""="",
                    ""right"": {
                      ""count_id"": ""e_person"",
                      ""condition"": {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                        ""operator"": ""="",
                        ""right"": {
                          ""count_id"": ""e_movie"",
                          ""condition"": {
                            ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                            ""operator"": ""="",
                            ""right"": {
                              ""count_id"": ""e_person"",
                              ""condition"": {
                                ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                ""operator"": ""="",
                                ""right"": {
                                  ""count_id"": ""e_movie"",
                                  ""condition"": {
                                    ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                    ""operator"": ""="",
                                    ""right"": {
                                      ""count_id"": ""e_person"",
                                      ""condition"": {
                                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                        ""operator"": ""="",
                                        ""right"": {
                                          ""count_id"": ""e_movie"",
                                          ""condition"": {
                                            ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                            ""operator"": ""="",
                                            ""right"": {
                                              ""count_id"": ""e_person"",
                                              ""condition"": {
                                                ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                ""operator"": ""="",
                                                ""right"": {
                                                  ""count_id"": ""e_movie"",
                                                  ""condition"": {
                                                    ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                    ""operator"": ""="",
                                                    ""right"": {
                                                      ""count_id"": ""e_person"",
                                                      ""condition"": {
                                                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                        ""operator"": ""="",
                                                        ""right"": {
                                                          ""count_id"": ""e_movie"",
                                                          ""condition"": {
                                                            ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                            ""operator"": ""="",
                                                            ""right"": {
                                                              ""count_id"": ""e_person"",
                                                              ""condition"": {
                                                                ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                                ""operator"": ""="",
                                                                ""right"": {
                                                                  ""count_id"": ""e_movie"",
                                                                  ""condition"": {
                                                                    ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                                    ""operator"": ""="",
                                                                    ""right"": {
                                                                      ""count_id"": ""e_person"",
                                                                      ""condition"": {
                                                                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                                        ""operator"": ""="",
                                                                        ""right"": {
                                                                          ""count_id"": ""e_movie"",
                                                                          ""condition"": {
                                                                            ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                                            ""operator"": ""="",
                                                                            ""right"": {
                                                                              ""count_id"": ""e_person"",
                                                                              ""condition"": {
                                                                                ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                                                ""operator"": ""="",
                                                                                ""right"": {
                                                                                  ""count_id"": ""e_movie"",
                                                                                  ""condition"": {
                                                                                    ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                                                    ""operator"": ""="",
                                                                                    ""right"": {
                                                                                      ""count_id"": ""e_person"",
                                                                                      ""condition"": {
                                                                                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                                                                                        ""operator"": ""="","
4,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,57.004435,True,stop,3352,0.062716,998,55.349202,18.031,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acts_in"", ""role"": ""acts_in"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acts_in"",
            {
              ""left"": {
                ""count_id"": ""e_person"",
                ""condition"": {
                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                  ""operator"": ""="",
                  ""right"": {
                    ""left"": { ""count_id"": ""e_movie"" },
                    ""attribute_name"": ""birth_year""
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
5,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,59.421808,True,stop,3352,0.062309,1042,57.691885,18.0615,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acts"", ""role"": ""actor"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acts"",
            {
              ""exists"": {
                ""exists_id"": ""e_person"",
                ""condition"": {
                  ""and_conditions"": [
                    {
                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                      ""operator"": ""="",
                      ""right"": {
                        ""count_id"": ""e_movie"",
                        ""condition"": {
                          ""left"": { ""count_id"": ""e_person"", ""operator"": ""=="", ""right"": 5 }
                        }
                      }
                    }
                  ]
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
6,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,116.888602,False,length,3352,0.064443,2048,114.01525,17.9625,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acted"", ""role"": ""acted_in"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acted"",
            {
              ""exists"": {
                ""id"": ""e_person"",
                ""condition"": {
                  ""all_id"": ""e_person"",
                  ""condition"": {
                    ""exists"": {
                      ""id"": ""e_person"",
                      ""condition"": {
                        ""all_id"": [
                          ""r_acted"",
                          {
                            ""left"": {
                              ""attribute_name"": ""birth_year"",
                              ""of"": ""e_person""
                            },
                            ""operator"": ""="",
                            ""right"": {
                              ""count_id"": ""e_person"",
                              ""condition"": {
                                ""left"": {
                                  ""attribute_name"": ""birth_year"",
                                  ""of"": ""e_person""
                                },
                                ""operator"": ""="",
                                ""right"": {
                                  ""count_id"": ""e_person"",
                                  ""condition"": {
                                    ""left"": {
                                      ""attribute_name"": ""birth_year"",
                                      ""of"": ""e_person""
                                    },
                                    ""operator"": ""="",
                                    ""right"": {
                                      ""count_id"": ""e_person"",
                                      ""condition"": {
                                        ""left"": {
                                          ""attribute_name"": ""birth_year"",
                                          ""of"": ""e_person""
                                        },
                                        ""operator"": ""="",
                                        ""right"": {
                                          ""count_id"": ""e_person"",
                                          ""condition"": {
                                            ""left"": {
                                              ""attribute_name"": ""birth_year"",
                                              ""of"": ""e_person""
                                            },
                                            ""operator"": ""="",
                                            ""right"": {
                                              ""count_id"": ""e_person"",
                                              ""condition"": {
                                                ""left"": {
                                                  ""attribute_name"": ""birth_year"",
                                                  ""of"": ""e_person""
                                                },
                                                ""operator"": ""="",
                                                ""right"": {
                                                  ""count_id"": ""e_person"",
                                                  ""condition"": {
                                                    ""left"": {
                                                      ""attribute_name"": ""birth_year"",
                                                      ""of"": ""e_person""
                                                    },
                                                    ""operator"": ""="",
                                                    ""right"": {
                                                      ""count_id"": ""e_person"",
                                                      ""condition"": {
                                                        ""left"": {
                                                          ""attribute_name"": ""birth_year"",
                                                          ""of"": ""e_person""
                                                        },
                                                        ""operator"": ""="",
                                                        ""right"": {
                                                          ""count_id"": ""e_person"",
                                                          ""condition"": {
                                                            ""left"": {
                                                              ""attribute_name"": ""birth_year"",
                                                              ""of"": ""e_person""
                                                            },
                                                            ""operator"": ""="",
                                                            ""right"": {
                                                              ""count_id"": ""e_person"",
                                                              ""condition"": {
                                                                ""left"": {
                                                                  ""attribute_name"": ""birth_year"",
                                                                  ""of"": ""e_person""
                                                                },
                                                                ""operator"": ""="",
                                                                ""right"": {
                                                                  ""count_id"": ""e_person"",
                                                                  ""condition"": {
                                                                    ""left"": {
                                                                      ""attribute_name"": ""birth_year"",
                                                                      ""of"": ""e_person""
                                                                    },
                                                                    ""operator"": ""="",
                                                                    ""right"": {
                                                                      ""count_id"": ""e_person"",
                                                                      ""condition"": {
                                                                        ""left"": {
                                                                          ""attribute_name"": ""birth_year"",
                                                                          ""of"": ""e_person""
                                                                        },
                                                                        ""operator"": ""="",
                                                                        ""right"": {
                                                                          ""count_id"": ""e_person"",
                                                                          ""condition"": {
                                                                            ""left"": {
                                                                              ""attribute_name"": ""birth_year"",
                                                                              ""of"": ""e_person""
                                                                            },
                                                                            ""operator"": ""="",
                                                                            ""right"": {
                                                                              ""count_id"": ""e_person"",
                                                                              ""condition"": {
                                                                                ""left"": {
                                                                                  ""attribute_name"": ""birth_year"",
                                                                                  ""of"": ""e_person""
                                                                                },
                                                                                ""operator"": ""="",
                                                                                ""right"": {
                                                                                  ""count_id"": ""e_person"",
                                                                                  ""condition"": {
                                                                                    ""left"": {
                                                                                      ""attribute_name"": ""birth_year"",
                                                                                      ""of"": ""e_person""
                                                                                    },
                                                                                    ""operator"": ""="",
                                                                                    ""right"": {
                                                                                      ""count_id"": ""e_person"",
                                                                                      ""condition"": {
                                                                                        ""left"": {
                                                                                          ""attribute_name"": ""birth_year"",
                                                                                          ""of"": ""e_person""
                                                                                        },
                                                                                        ""operator"": ""="",
                                                                                        ""right"": {
                                                                                          ""count_id"": ""e_person"",
                                                                                          ""condition"": {
                                                                                            ""left"": {
                                                                                              ""attribute_name"": ""birth_year"
7,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,63.500313,True,stop,3352,0.071883,1129,61.667346,18.3079,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acts_in"", ""role"": ""acts_in"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acts_in"",
            {
              ""count_id"": ""e_actor"",
              ""operator"": "">"",
              ""right"": 4,
              ""and_conditions"": [
                {
                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" },
                  ""operator"": ""="",
                  ""right"": {
                    ""count_id"": ""e_actor"",
                    ""condition"": {
                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor"" }
                    }
                  }
                }
              ]
            }
          ]
        }
      }
    ]
  ]
}
```"
8,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,67.364232,True,stop,3352,0.063914,1185,65.503797,18.0906,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acted"", ""role"": ""actor"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acted"",
            {
              ""exists"": {
                ""id"": ""e_birth_year"",
                ""condition"": {
                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                  ""operator"": ""="",
                  ""right"": {
                    ""count_id"": ""e_person"",
                    ""condition"": {
                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                      ""operator"": ""="",
                      ""right"": {
                        ""count_id"": ""e_movie"",
                        ""condition"": {
                          ""left"": { ""attribute_name"": ""id"", ""of"": ""e_movie"" },
                          ""operator"": ""="",
                          ""right"": ""e_movie""
                        }
                      }
                    }
                  }
                }
              }
            },
            {
              ""left"": {
                ""count_id"": ""e_person"",
                ""condition"": {
                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                  ""operator"": ""="",
                  ""right"": {
                    ""count_id"": ""e_movie"",
                    ""condition"": {
                      ""left"": { ""attribute_name"": ""id"", ""of"": ""e_movie"" },
                      ""operator"": ""="",
                      ""right"": ""e_movie""
                    }
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
9,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,72.82259,True,stop,3352,0.065379,1283,70.837437,18.1119,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acts"", ""role"": ""acts_in"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acts"",
            {
              ""count_id"": ""e_person"",
              ""operator"": "">"",
              ""right"": 4,
              ""and_conditions"": [
                {
                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                  ""operator"": ""="",
                  ""right"": {
                    ""count_id"": ""e_person"",
                    ""condition"": {
                      ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" }
                    }
                  }
                }
              ]
            }
          ]
        }
      }
    ]
  ]
}
```"
10,Q01,Give me the movies that have more than four actors with the same birth year,gemma4:e2b,True,0.05,73.760118,True,stop,3352,0.060806,1301,71.762161,18.1293,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_person"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_acted"", ""role"": ""actor"", ""from"": ""e_person"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_acted"",
            {
              ""exists"": {
                ""id"": ""e_birth_year"",
                ""condition"": {
                  ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_person"" },
                  ""operator"": ""EXISTS""
                }
              }
            },
            {
              ""count_id"": ""e_person"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_person""
                },
                ""operator"": ""="",
                ""right"": {
                  ""count_id"": ""e_person"",
                  ""condition"": {
                    ""left"": {
                      ""attribute_name"": ""birth_year"",
                      ""of"": ""e_person""
                    }
                  }
                }
              }
            },
            {
              ""count_id"": ""e_person"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_person""
                },
                ""operator"": "">"",
                ""right"": 4
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
