Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,163.924284,True,stop,3125,1.073201,386,162.274456,2.3787,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_main_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_main_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""main_actor"", ""from"": ""e_main_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_act_arg"", ""role"": ""actor"", ""from"": ""e_arg_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_main_won"", ""role"": ""won"", ""from"": ""e_main_actor"", ""to"": ""e_main_award"" },
          { ""id"": ""r_arg_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_main_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_main_won"" },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": { ""count_id"": ""r_arg_won"" }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
2,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,226.657402,True,stop,3125,0.409408,526,225.471964,2.3329,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_main_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_main_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""main_actor"", ""from"": ""e_main_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_act_arg"", ""role"": ""actor"", ""from"": ""e_arg_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_main_won"", ""role"": ""won"", ""from"": ""e_main_actor"", ""to"": ""e_main_award"" },
          { ""id"": ""r_arg_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_main_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_main_won"", ""condition"": { ""and_conditions"": [""r_main_won""] } },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": {
                    ""count_id"": ""r_arg_won"",
                    ""condition"": { ""and_conditions"": [""r_arg_won""] }
                  },
                  ""condition"": {
                    ""left"": { ""attribute_name"": ""nationality"", ""of"": ""e_arg_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Argentine""
                  }
                }
              }
            },
            {
              ""exists_id"": ""e_arg_actor"",
              ""condition"": {
                ""left"": { ""attribute_name"": ""nationality"", ""of"": ""e_arg_actor"" },
                ""operator"": ""="",
                ""right"": ""Argentine""
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
3,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,181.877657,True,stop,3125,0.402304,428,180.7566,2.3678,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_main_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_main_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""main_actor"", ""from"": ""e_main_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_act_arg"", ""role"": ""actor"", ""from"": ""e_arg_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_main_won"", ""role"": ""won"", ""from"": ""e_main_actor"", ""to"": ""e_main_award"" },
          { ""id"": ""r_arg_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_main_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_main_won"" },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": { ""count_id"": ""r_arg_won"" }
                }
              }
            },
            {
              ""left"": { ""attribute_name"": ""nationality"", ""of"": ""e_arg_actor"" },
              ""operator"": ""="",
              ""right"": ""Argentine""
            }
          ]
        }
      }
    ]
  ]
}
```"
4,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,175.558685,True,stop,3125,0.470867,414,174.500865,2.3725,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_actor_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_actor_won"", ""role"": ""won"", ""from"": ""e_actor"", ""to"": ""e_actor_award"" },
          { ""id"": ""r_arg_actor_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_actor"",
              ""condition"": {
                ""and_conditions"": [
                  ""r_act"",
                  {
                    ""left"": { ""count_id"": ""r_actor_won"" },
                    ""operator"": "">"",
                    ""right"": {
                      ""max_id"": ""e_arg_actor"",
                      ""expression"": { ""count_id"": ""r_arg_actor_won"" },
                      ""condition"": {
                        ""left"": { ""attribute_name"": ""country"", ""of"": ""e_arg_actor"" },
                        ""operator"": ""="",
                        ""right"": ""Argentina""
                      }
                    }
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
5,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,163.137627,True,stop,3125,0.65024,386,161.925895,2.3838,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_main_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_main_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""main_actor"", ""from"": ""e_main_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_act_arg"", ""role"": ""actor"", ""from"": ""e_arg_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_main_won"", ""role"": ""won"", ""from"": ""e_main_actor"", ""to"": ""e_main_award"" },
          { ""id"": ""r_arg_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_main_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_main_won"" },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": { ""count_id"": ""r_arg_won"" }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
6,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,164.133088,True,stop,3125,0.558671,386,162.996837,2.3681,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_main_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_main_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""main_actor"", ""from"": ""e_main_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_act_arg"", ""role"": ""actor"", ""from"": ""e_arg_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_main_won"", ""role"": ""won"", ""from"": ""e_main_actor"", ""to"": ""e_main_award"" },
          { ""id"": ""r_arg_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_main_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_main_won"" },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": { ""count_id"": ""r_arg_won"" }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
7,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,182.727522,True,stop,3125,0.378039,431,181.632247,2.3729,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_main_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_main_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""main_actor"", ""from"": ""e_main_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_act_arg"", ""role"": ""actor"", ""from"": ""e_arg_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_main_won"", ""role"": ""won"", ""from"": ""e_main_actor"", ""to"": ""e_main_award"" },
          { ""id"": ""r_arg_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_main_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_main_won"" },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": { ""count_id"": ""r_arg_won"" },
                  ""condition"": {
                    ""left"": { ""attribute_name"": ""nationality"", ""of"": ""e_arg_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Argentine""
                  }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
8,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,149.003024,True,stop,3125,0.401584,352,147.982564,2.3787,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_actor_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_actor_won"", ""role"": ""won"", ""from"": ""e_actor"", ""to"": ""e_actor_award"" },
          { ""id"": ""r_arg_actor_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_actor_won"" },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": { ""count_id"": ""r_arg_actor_won"" }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
9,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,196.042984,True,stop,3125,0.373183,463,194.944662,2.375,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_actor_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_actor_won"", ""role"": ""won"", ""from"": ""e_actor"", ""to"": ""e_actor_award"" },
          { ""id"": ""r_arg_actor_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" },
          { ""id"": ""r_arg_actor"", ""role"": ""nationality"", ""from"": ""e_arg_actor"", ""to"": { ""attribute_name"": ""country"", ""of"": ""e_arg_actor"" } }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_actor"",
              ""condition"": {
                ""and_conditions"": [
                  ""r_act"",
                  {
                    ""left"": { ""count_id"": ""r_actor_won"" },
                    ""operator"": "">"",
                    ""right"": {
                      ""max_id"": ""e_arg_award"",
                      ""expression"": { ""count_id"": ""r_arg_actor_won"" },
                      ""condition"": {
                        ""left"": { ""attribute_name"": ""country"", ""of"": ""e_arg_actor"" },
                        ""operator"": ""="",
                        ""right"": ""Argentina""
                      }
                    }
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
10,Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,ministral-3:14b,False,0.1,163.491536,True,stop,3125,0.491484,386,162.312645,2.3781,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_main_actor"", ""type"": ""Person"" },
          { ""id"": ""e_arg_actor"", ""type"": ""Person"" },
          { ""id"": ""e_main_award"", ""type"": ""Award"" },
          { ""id"": ""e_arg_award"", ""type"": ""Award"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""main_actor"", ""from"": ""e_main_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_act_arg"", ""role"": ""actor"", ""from"": ""e_arg_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_main_won"", ""role"": ""won"", ""from"": ""e_main_actor"", ""to"": ""e_main_award"" },
          { ""id"": ""r_arg_won"", ""role"": ""won"", ""from"": ""e_arg_actor"", ""to"": ""e_arg_award"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""all_id"": ""e_main_actor"",
              ""condition"": {
                ""left"": { ""count_id"": ""r_main_won"" },
                ""operator"": "">"",
                ""right"": {
                  ""max_id"": ""e_arg_actor"",
                  ""expression"": { ""count_id"": ""r_arg_won"" }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
