Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Ministral 3 14B,14B,False,0.025,100.0,314.5271,0.669,2.1059,True,True,314.2564,315.2647,315.4159
Q02,Give me each Queen of England along with the list of their residences.,Ministral 3 14B,14B,False,0.025,100.0,190.4061,17.5427,2.1161,True,True,183.0097,206.2875,214.0299
Q03,Give me the third-degree relatives of Alfonso X.,Ministral 3 14B,14B,False,0.025,100.0,128.5141,7.1486,2.1223,True,True,123.4517,136.3594,136.3917
Q04,Give me all the groups that directly or indirectly influenced Queen.,Ministral 3 14B,14B,False,0.025,100.0,202.7436,0.1561,2.1147,True,True,202.6718,202.9102,202.9582
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Ministral 3 14B,14B,False,0.025,100.0,357.0594,57.8606,2.1013,True,True,364.4071,401.7579,414.0471
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Ministral 3 14B,14B,False,0.025,100.0,104.4705,0.8182,2.1216,True,True,104.1878,105.2498,105.5852
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Ministral 3 14B,14B,False,0.025,100.0,172.4712,30.0206,2.1185,True,True,193.6984,194.8247,194.9972
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Ministral 3 14B,14B,False,0.025,100.0,128.7021,0.8521,2.1224,True,True,128.1744,129.6413,129.8636
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Ministral 3 14B,14B,False,0.025,100.0,242.2232,9.6301,2.1107,True,True,247.3632,250.1559,250.2095
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Ministral 3 14B,14B,False,0.025,100.0,337.3047,0.3469,2.103,True,True,337.235,337.637,337.7518
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Gemma 4 26B,26B,False,0.025,100.0,121.9989,2.4834,3.5851,True,True,121.5524,124.2902,125.1593
Q02,Give me each Queen of England along with the list of their residences.,Gemma 4 26B,26B,False,0.025,100.0,78.2584,0.215,3.5067,True,True,78.1571,78.499,78.5364
Q03,Give me the third-degree relatives of Alfonso X.,Gemma 4 26B,26B,False,0.025,100.0,85.0963,3.1969,3.5082,True,True,86.4889,86.5915,86.6211
Q04,Give me all the groups that directly or indirectly influenced Queen.,Gemma 4 26B,26B,False,0.025,100.0,65.2656,10.6417,3.5138,True,True,69.9756,70.1703,70.1773
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Gemma 4 26B,26B,False,0.025,100.0,233.0453,356.6559,3.5483,True,True,73.5589,552.0876,711.5691
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Gemma 4 26B,26B,False,0.025,100.0,90.212,12.4087,3.6693,True,True,84.7,101.3393,106.8742
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Gemma 4 26B,26B,False,0.025,100.0,85.9134,1.3921,3.6662,True,True,85.3235,87.1975,87.7989
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Gemma 4 26B,26B,False,0.025,100.0,121.0552,2.7471,3.5553,True,True,119.776,124.0657,124.1513
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Gemma 4 26B,26B,False,0.025,100.0,132.6451,9.1361,3.4802,True,True,128.7212,140.898,144.9388
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Gemma 4 26B,26B,False,0.025,100.0,167.7446,3.8202,3.439,True,True,165.7087,171.7257,173.029
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,132.5451,14.4626,2.8355,True,True,126.0953,145.5446,151.9803
Q02,Give me each Queen of England along with the list of their residences.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,107.7104,0.4916,2.846,True,True,107.4596,108.2488,108.378
Q03,Give me the third-degree relatives of Alfonso X.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,103.5467,5.1956,2.8467,True,True,101.2888,108.2891,110.5622
Q04,Give me all the groups that directly or indirectly influenced Queen.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,84.8045,0.1284,2.8577,True,True,84.8488,84.924,84.9484
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,123.1408,0.3423,2.8377,True,True,123.2955,123.4402,123.4636
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,113.811,0.977,2.8313,True,True,113.6355,114.7609,115.1275
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,108.6588,2.6574,2.8473,True,True,107.6773,111.2412,112.2947
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,77.8075,0.2909,2.8562,True,True,77.7263,78.0874,78.2017
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,140.9537,1.5257,2.831,True,True,141.8578,142.1737,142.2224
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,179.2015,6.9378,2.8297,True,True,182.3769,182.5098,182.5467
