Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.58696,True,stop,4096,3.581428,59,4.450276,13.2576,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
2,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.565267,True,stop,4096,3.570668,59,4.430462,13.3169,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
3,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.61944,True,stop,4096,3.61807,59,4.455933,13.2408,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
4,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.635337,True,stop,4096,3.635861,59,4.451393,13.2543,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
5,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.62453,True,stop,4096,3.638937,59,4.434947,13.3034,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
6,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.612864,True,stop,4096,3.612578,59,4.444345,13.2753,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
7,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.569032,True,stop,4096,3.581195,59,4.435823,13.3008,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
8,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.606422,True,stop,4096,3.614803,59,4.437815,13.2948,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
9,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.615843,True,stop,4096,3.624777,59,4.436532,13.2987,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
10,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.559396,True,stop,4096,3.582437,59,4.427779,13.325,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
11,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.589354,True,stop,4096,3.606354,59,4.42908,13.3211,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
12,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,12.459755,True,stop,4096,3.591306,107,8.268356,12.9409,"```json
{
  ""hypotheses"": [
    {
      ""description"": ""Find movies where at least one year of birth among the cast members is shared by more than 4 people."",
      ""query"": {
        ""type"": ""aggregate"",
        ""field"": ""cast.birth_year"",
        ""aggregation"": ""count"",
        ""threshold"": 4,
        ""scope"": ""movie""
      }
    }
  ]
}
```"
13,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,12.979098,True,stop,4096,3.632556,113,8.745268,12.9213,"```json
{
  ""hypotheses"": [
    {
      ""description"": ""Find movies where at least one year of birth among the cast members is shared by more than 4 people."",
      ""query"": {
        ""type"": ""aggregation"",
        ""field"": ""cast.birth_year"",
        ""filter"": {
          ""min_count"": 5
        },
        ""return_field"": ""movie_id""
      }
    }
  ]
}
```"
14,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.560556,True,stop,4096,3.588838,59,4.424693,13.3343,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
15,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.612422,True,stop,4096,3.624417,59,4.438857,13.2917,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
16,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.598315,True,stop,4096,3.628722,59,4.419076,13.3512,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
17,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.58043,True,stop,4096,3.574115,59,4.446031,13.2703,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
18,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.605143,True,stop,4096,3.622655,59,4.419921,13.3487,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
19,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.600263,True,stop,4096,3.619165,59,4.430392,13.3171,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
20,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.624741,True,stop,4096,3.612386,59,4.469176,13.2015,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
21,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,12.874892,True,stop,4096,3.577224,113,8.677239,13.0226,"```json
{
  ""hypotheses"": [
    {
      ""description"": ""Find movies where at least one year of birth among the cast members is shared by more than 4 people."",
      ""query"": {
        ""type"": ""aggregation"",
        ""field"": ""cast.birth_year"",
        ""filter"": {
          ""min_count"": 5
        },
        ""return_field"": ""movie_id""
      }
    }
  ]
}
```"
22,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.575847,True,stop,4096,3.589612,59,4.429563,13.3196,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
23,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.60963,True,stop,4096,3.615923,59,4.437485,13.2958,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
24,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,14.012487,True,stop,4096,3.600166,126,9.804001,12.8519,"```json
{
  ""hypotheses"": [
    {
      ""description"": ""Find movies where at least one year of birth for the actors involved is shared by more than 4 actors."",
      ""query"": {
        ""type"": ""aggregate"",
        ""field"": ""actor.birth_year"",
        ""filter"": {
          ""count"": {
            ""operator"": ""gt"",
            ""value"": 4
          }
        },
        ""return_field"": ""movie""
      }
    }
  ]
}
```"
25,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.566605,True,stop,4096,3.575609,59,4.447238,13.2667,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
26,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.560004,True,stop,4096,3.592222,59,4.40642,13.3896,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
27,Q01,Which movies have more than four actors with the same birth year?,gemma4:e4b,False,0.05,8.623417,True,stop,4096,3.609852,59,4.452041,13.2523,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find movies where at least one year has more than 4 actors born in that year.""
    }
  ]
}
```"
