Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,86.020338,True,stop,3153,0.475963,253,84.891667,2.9803,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_keyword"", ""type"": ""Keyword"" }, { ""id"": ""e_node"", ""type"": ""Node"" }],
        ""relationships"": [
          { ""id"": ""r_related_to"", ""role"": ""related_to"", ""from"": ""e_keyword"", ""to"": ""e_node"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""key_id"", ""of"": ""e_keyword"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""count_id"": ""r_related_to"", ""condition"": {""left"": ""e_keyword"", ""operator"": ""="", ""right"": ""e_node""}}, ""operator"": "">="", ""right"": 3 }
          ]
        }
      }
    ]
  ]
}
```"
2,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,81.308142,True,stop,3153,0.402859,242,80.233718,3.0162,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_keyword"", ""type"": ""Keyword"" }, { ""id"": ""e_node"", ""type"": ""Node"" }],
        ""relationships"": [
          { ""id"": ""r_related_to"", ""role"": ""related_to"", ""from"": ""e_keyword"", ""to"": ""e_node"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""key_id"", ""of"": ""e_keyword"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            }
          ]
        },
        ""order_by"": [{ ""expression"": { ""attribute_name"": ""distance"", ""of"": ""r_related_to"" }, ""direction"": ""ASC"" }],
        ""limit"": 3
      }
    ]
  ]
}
```"
3,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,87.214714,True,stop,3153,0.40833,258,86.116529,2.9959,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_keyword"", ""type"": ""Keyword"" }, { ""id"": ""e_node"", ""type"": ""Node"" }],
        ""relationships"": [
          { ""id"": ""r_related_to"", ""role"": ""related_to"", ""from"": ""e_keyword"", ""to"": ""e_node"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""key_id"", ""of"": ""e_keyword"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""count_id"": ""r_related_to"", ""condition"": {""left"": ""e_keyword"", ""operator"": ""="", ""right"": ""e_node""}},
              ""operator"": "">="",
              ""right"": 3
            }
          ]
        }
      }
    ]
  ]
}
```"
4,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,85.065534,True,stop,3153,0.293697,254,84.099889,3.0202,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_keyword"", ""type"": ""Keyword"" }, { ""id"": ""e_node"", ""type"": ""Node"" }],
        ""relationships"": [
          { ""id"": ""r_related_to"", ""role"": ""related_to"", ""from"": ""e_keyword"", ""to"": ""e_node"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""key_id"", ""of"": ""e_keyword"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""count_id"": ""r_related_to"", ""condition"": {""left"": ""e_keyword"", ""operator"": ""!="", ""right"": ""e_node""}}, ""operator"": "">="", ""right"": 3 }
          ]
        }
      }
    ]
  ]
}
```"
5,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,62.546361,True,stop,3153,0.323512,181,61.660392,2.9354,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_node"", ""type"": ""Node"" }],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""keyword_id"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""attribute_name"": ""hops"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": 3
            }
          ]
        }
      }
    ]
  ]
}
```"
6,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,54.238844,True,stop,3153,0.401483,152,53.347787,2.8492,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_node"", ""type"": ""Node"" }],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""hops"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": 3
            },
            {
              ""left"": { ""attribute_name"": ""connected_to"", ""of"": ""e_node"" },
              ""operator"": ""="", ""right"": ""Keyword""
            }
          ]
        }
      }
    ]
  ]
}
```"
7,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,60.827165,True,stop,3153,0.400672,179,59.874283,2.9896,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_node"", ""type"": ""Node"" }],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""keyword_id"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""attribute_name"": ""distance"", ""of"": ""e_node"" },
              ""operator"": "">"",
              ""right"": 2
            }
          ]
        }
      }
    ]
  ]
}
```"
8,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,63.229695,True,stop,3153,0.320091,181,62.361981,2.9024,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_node"", ""type"": ""Node"" }],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""keyword_id"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""attribute_name"": ""hops"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": 3
            }
          ]
        }
      }
    ]
  ]
}
```"
9,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,60.88001,True,stop,3153,0.320352,181,59.997007,3.0168,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_node"", ""type"": ""Node"" }],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""keyword_id"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""attribute_name"": ""hops"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": 3
            }
          ]
        }
      }
    ]
  ]
}
```"
10,Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,mistral-nemo:12b,False,0.15,61.604738,True,stop,3153,0.327625,181,60.721732,2.9808,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_node""],
        ""entities"": [{ ""id"": ""e_node"", ""type"": ""Node"" }],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""attribute_name"": ""keyword_id"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": ""6ded85146e3dbfb1bb866831b8948f5b""
            },
            {
              ""left"": { ""attribute_name"": ""hops"", ""of"": ""e_node"" },
              ""operator"": ""="",
              ""right"": 3
            }
          ]
        }
      }
    ]
  ]
}
```"
