Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.310234,True,stop,2939,0.103289,179,11.91881,15.0183,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming_connections"", ""from"": ""e_application"", ""to"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
2,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.407734,True,stop,2939,0.069871,179,11.988262,14.9313,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming_connection"", ""from"": ""e_application"", ""to"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
3,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.292507,True,stop,2939,0.069596,178,11.935238,14.9138,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming"", ""from"": ""e_application"", ""to"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
4,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.428308,True,stop,2939,0.069938,179,12.023395,14.8876,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming_connections"", ""from"": ""e_application"", ""to"": ""e_connection"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
5,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.347882,True,stop,2939,0.069408,179,11.983552,14.9371,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming_connections"", ""from"": ""e_application"", ""to"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
6,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,16.432753,True,stop,2939,0.070144,237,15.940243,14.868,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [],
        ""projection"": [
          { ""attribute_name"": ""name"", ""of"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""e_incoming_conn"", ""condition"": { ""left"": { ""attribute_name"": ""source"", ""of"": ""e_incoming_conn"" }, ""operator"": ""="", ""right"": ""e_application"" } },
              ""operator"": "">"", 
              ""right"": { ""count_id"": ""e_incoming_conn"", ""condition"": { ""left"": { ""attribute_name"": ""source"", ""of"": ""e_incoming_conn"" }, ""operator"": ""="", ""right"": { ""attribute_name"": ""name"", ""of"": ""e_application"" } } }
            }
          ]
        }
      }
    ]
  ]
}
```"
7,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,13.795232,True,stop,2939,0.069561,200,13.422103,14.9008,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_incoming"", ""role"": ""has_incoming_connections"", ""from"": ""e_application"", ""to"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_incoming"" }
              }
            }
          ]
        },
        ""projection"": [
          { ""attribute_name"": ""name"", ""of"": ""e_application"" }
        ]
      }
    ]
  ]
}
```"
8,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.409479,True,stop,2939,0.069853,179,11.992449,14.9261,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming_connection"", ""from"": ""e_application"", ""to"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
9,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.386228,True,stop,2939,0.069401,179,12.025436,14.8851,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming_connection"", ""from"": ""e_application"", ""to"": ""e_application"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
10,Q05,Give me the name of the Application that has the most incoming connections from other Applications,deepseek-r1:8b,False,0.1,12.407368,True,stop,2939,0.069928,179,11.97961,14.9421,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_application""],
        ""entities"": [
          { ""id"": ""e_application"", ""type"": ""Application"" }
        ],
        ""relationships"": [
          { ""id"": ""r_has_incoming"", ""role"": ""has_incoming_connections"", ""from"": ""e_application"", ""to"": ""e_connection"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_has_incoming"" },
              ""operator"": ""="",
              ""right"": {
                ""max_id"": ""e_application"",
                ""expression"": { ""count_id"": ""r_has_incoming"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
