Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,139.746695,True,stop,3368,2.160149,490,136.431342,3.5916,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""and_conditions"": [
                  ""r_act"",
                  {
                    ""left"": {
                      ""attribute_name"": ""birth_year"",
                      ""of"": ""e_actor""
                    },
                    ""operator"": ""="",
                    ""right"": 2002
                  }
                ]
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
2,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.647708,True,stop,3368,0.279399,466,130.216558,3.5787,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
3,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.684558,True,stop,3368,0.284461,466,130.257817,3.5775,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
4,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,133.563294,True,stop,3368,0.278309,473,132.086498,3.581,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ],
        ""limit"": 1
      }
    ]
  ]
}
```"
5,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.670899,True,stop,3368,0.279103,466,130.222591,3.5785,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
6,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.599289,True,stop,3368,0.281207,466,130.097481,3.5819,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
7,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.584345,True,stop,3368,0.279217,466,130.10492,3.5817,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
8,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.681402,True,stop,3368,0.282245,466,130.213688,3.5787,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
9,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.585046,True,stop,3368,0.281963,466,130.16348,3.5801,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
10,Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",gemma4:26b,False,0.05,131.630676,True,stop,3368,0.280013,466,130.180357,3.5796,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [
          ""e_director"",
          ""e_actor""
        ],
        ""entities"": [
          {
            ""id"": ""e_movie"",
            ""type"": ""Movie""
          },
          {
            ""id"": ""e_director"",
            ""type"": ""Person""
          },
          {
            ""id"": ""e_actor"",
            ""type"": ""Person""
          }
        ],
        ""relationships"": [
          {
            ""id"": ""r_dir"",
            ""role"": ""director"",
            ""from"": ""e_director"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_act"",
            ""role"": ""actor"",
            ""from"": ""e_actor"",
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_dir"",
            ""r_act"",
            {
              ""left"": {
                ""attribute_name"": ""release_year"",
                ""of"": ""e_movie""
              },
              ""operator"": ""="",
              ""right"": 1990
            },
            {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""left"": {
                  ""attribute_name"": ""birth_year"",
                  ""of"": ""e_actor""
                },
                ""operator"": ""="",
                ""right"": 2002
              }
            }
          ]
        },
        ""projection"": [
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_director""
          },
          {
            ""attribute_name"": ""name"",
            ""of"": ""e_actor""
          }
        ]
      }
    ]
  ]
}
```"
