Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,53.416804,True,stop,1888,0.810855,929,51.072181,18.1899,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""cmp"": {
                    ""left"": {
                      ""attr"": ""citizenship"",
                      ""of"": ""x""
                    },
                    ""op"": ""!="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
2,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,76.527427,True,stop,1888,0.062072,1342,74.459054,18.0233,"```json
{
  ""hypotheses"": []
}
```"
3,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,51.523045,True,stop,1888,0.056625,897,49.97427,17.9492,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""cmp"": {
                    ""left"": {
                      ""attr"": ""citizenship"",
                      ""of"": ""x""
                    },
                    ""op"": ""!="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
4,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,52.497087,True,stop,1888,0.057922,915,50.922933,17.9683,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""cmp"": {
                  ""left"": {
                    ""attr"": ""citizenship"",
                    ""of"": ""x""
                  },
                  ""op"": ""!="",
                  ""right"": ""US""
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
5,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,54.104835,True,stop,1888,0.061735,942,52.506196,17.9407,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""cmp"": {
                    ""left"": {
                      ""attr"": ""citizenship"",
                      ""of"": ""x""
                    },
                    ""op"": ""!="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
6,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,44.475095,True,stop,1888,0.061639,769,43.08154,17.8499,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""attr"": ""citizenship"",
                  ""of"": ""x"",
                  ""cmp"": {
                    ""op"": ""!="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
7,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,41.390583,True,stop,1888,0.060751,713,40.056751,17.7997,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""cmp"": {
                    ""left"": {
                      ""attr"": ""citizenship"",
                      ""of"": ""x""
                    },
                    ""op"": ""!="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
8,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,41.215093,True,stop,1888,0.057703,711,39.880855,17.8281,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""cmp"": {
                    ""left"": {
                      ""attr"": ""citizenship"",
                      ""of"": ""x""
                    },
                    ""op"": ""!="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
9,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,68.649501,True,stop,1888,0.057745,1201,66.731553,17.9975,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""attr"": ""citizenship"",
                  ""of"": ""x"",
                  ""cmp"": {
                    ""op"": ""="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
10,Q05,Give me the films in which all the actors are US citizens,gemma4:e2b,True,0.1,62.271507,True,stop,1888,0.056595,1088,60.503069,17.9826,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""not"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""x"",
              ""where"": {
                ""not"": {
                  ""attr"": ""citizenship"",
                  ""of"": ""x"",
                  ""cmp"": {
                    ""op"": ""="",
                    ""right"": ""US""
                  }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
