Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,167.289833,False,length,3356,2.61681,2048,162.209165,12.6257,
2,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,104.757651,True,stop,3356,0.086687,1295,102.970801,12.5764,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor_of"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_worked_with"", ""role"": ""worked_with"", ""from"": ""e_actor"", ""to"": ""e_streep"" }
        ],
        ""constraint"": {
          ""not_condition"": {
            ""left"": {
              ""exists_id"": ""e_actor"",
              ""condition"": {
                ""and_conditions"": [
                  ""r_worked_with"",
                  {
                    ""left"": ""r_act"",
                    ""and_conditions"": [""r_act""]
                  }
                ]
              }
            }
          }
        }
      }
    ]
  ]
}
```"
3,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,99.183595,True,stop,3356,0.089466,1225,97.485546,12.566,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor_in"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_worked"", ""role"": ""worked_with"", ""from"": ""e_streep"", ""to"": ""e_actor"" }
        ],
        ""constraint"": {
          ""not_condition"": {
            ""and_conditions"": [
              ""r_act"",
              ""r_worked"",
              {
                ""left"": { ""attribute_name"": ""name"", ""of"": ""e_streep"" },
                ""operator"": ""="",
                ""right"": ""Meryl Streep""
              }
            ]
          }
        }
      }
    ]
  ]
}
```"
4,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,84.546057,True,stop,3356,0.088378,1045,83.016208,12.5879,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor_in"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_worked_with"", ""role"": ""worked_with"", ""from"": ""e_streep"", ""to"": ""e_actor"" }
        ],
        ""constraint"": {
          ""not_condition"": {
            ""and_conditions"": [
              ""r_act"",
              ""r_worked_with""
            ]
          }
        }
      }
    ]
  ]
}
```"
5,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,165.095138,False,length,3356,0.082016,2048,162.543161,12.5997,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", """
6,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,155.396688,True,stop,3356,0.086946,1928,152.945923,12.6058,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act_main"", ""role"": ""starred_in"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_co_star"", ""role"": ""co_starred_with"", ""from"": ""e_actor"", ""to"": ""e_streep"" }
        ],
        ""constraint"": {
          ""not_condition"": {
            ""exists_id"": ""r_act_main"",
            ""condition"": {
              ""and_conditions"": [
                ""r_co_star""
              ]
            }
          }
        },
        ""distinct"": true
      }
    ]
  ]
}
```"
7,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,106.836582,True,stop,3356,0.084848,1323,105.021489,12.5974,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor_of"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_co_star"", ""role"": ""co_star"", ""from"": ""e_actor"", ""to"": ""e_streep"" }
        ],
        ""constraint"": {
          ""not_condition"": {
            ""and_conditions"": [
              ""r_act"",
              ""r_co_star""
            ]
          }
        }
      }
    ]
  ]
}
```"
8,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,164.905385,False,length,3356,0.081872,2048,162.394557,12.6113,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""starring"", ""from"": ""e_actor"", ""to"": """
9,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,163.57974,True,stop,3356,0.083611,2030,161.114248,12.5998,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor_of"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_streep_act"", ""role"": ""actor_of"", ""from"": ""e_streep"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""not_condition"": {
            ""left"": {
              ""and_conditions"": [
                ""r_act"",
                ""r_streep_act"",
                {
                  ""left"": { ""attribute_name"": ""name"", ""of"": ""e_streep"" },
                  ""operator"": ""="",
                  ""right"": ""Meryl Streep""
                }
              ]
            }
          }
        }
      }
    ]
  ]
}
```"
10,Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,gemma4:e4b,True,0.05,116.11945,True,stop,3356,0.087747,1438,114.171967,12.595,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor_of"", ""from"": ""e_actor"", ""to"": ""e_movie"" },
          { ""id"": ""r_co_star"", ""role"": ""co_star"", ""from"": ""e_streep"", ""to"": ""e_actor"" }
        ],
        ""constraint"": {
          ""not_condition"": {
            ""and_conditions"": [
              ""r_act"",
              ""r_co_star""
            ]
          }
        },
        ""projection"": []
      }
    ]
  ]
}
```"
