Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,43.567582,True,stop,1691,0.606144,153,42.514943,3.5987,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""y"",
              ""where"": {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
2,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,41.995887,True,stop,1691,0.283215,148,41.219812,3.5905,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""y"",
              ""where"": {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
3,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,42.79619,True,stop,1691,0.279686,151,42.071208,3.5892,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""and"": [
              { ""rel"": ""actor"", ""to"": ""y"" },
              {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            ]
          }
        }
      }
    }
  ]
}
```"
4,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,39.959248,True,stop,1691,0.28266,141,39.096249,3.6065,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""and"": [
              { ""cmp"": { ""left"": { ""attr"": ""surname"", ""of"": ""x"" }, ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" } } },
              { ""rel"": ""actor"", ""to"": ""y"" }
            ]
          }
        }
      }
    }
  ]
}
```"
5,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,41.400889,True,stop,1691,0.282732,146,40.655017,3.5912,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""and"": [
              { ""rel"": ""actor"", ""to"": ""y"" },
              {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            ]
          }
        }
      }
    }
  ]
}
```"
6,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,42.802148,True,stop,1691,0.282921,151,42.00815,3.5945,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""and"": [
              { ""rel"": ""actor"", ""to"": ""y"" },
              {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            ]
          }
        }
      }
    }
  ]
}
```"
7,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,41.962142,True,stop,1691,0.282293,148,41.153388,3.5963,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""y"",
              ""where"": {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
8,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,41.378582,True,stop,1691,0.281937,146,40.649349,3.5917,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""and"": [
              { ""rel"": ""actor"", ""to"": ""y"" },
              {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            ]
          }
        }
      }
    }
  ]
}
```"
9,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,41.925636,True,stop,1691,0.280108,148,41.192468,3.5929,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""exists"": {
              ""rel"": ""actor"",
              ""to"": ""y"",
              ""where"": {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            }
          }
        }
      }
    }
  ]
}
```"
10,Q04,Give me the films whose directors have the same surname as one of the actors,mistral-nemo:12b,False,0.15,42.841582,True,stop,1691,0.282145,151,42.081826,3.5882,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""query"": {
        ""target"": ""Film"",
        ""entities"": [],
        ""where"": {
          ""rel"": ""director"",
          ""to"": ""x"",
          ""where"": {
            ""and"": [
              { ""rel"": ""actor"", ""to"": ""y"" },
              {
                ""cmp"": {
                  ""left"": { ""attr"": ""surname"", ""of"": ""x"" },
                  ""op"": ""="", ""right"": { ""attr"": ""surname"", ""of"": ""y"" }
                }
              }
            ]
          }
        }
      }
    }
  ]
}
```"
