Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,171.785327,True,stop,3978,13.25918,364,157.789329,2.3069,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor_1"", ""type"": ""Person"" },
          { ""id"": ""e_actor_2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor_1"", ""e_actor_2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">="",
              ""right"": 5
            },
            {
              ""all_id"": [""e_actor_1"", ""e_actor_2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_2"" }
                      },
                      {
                        ""not_condition"": {
                          ""left"": { ""attribute_name"": ""id"", ""of"": ""e_actor_1"" },
                          ""operator"": ""="",
                          ""right"": { ""attribute_name"": ""id"", ""of"": ""e_actor_2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
2,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,172.041016,True,stop,3978,13.222505,363,158.019235,2.2972,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor_1"", ""type"": ""Person"" },
          { ""id"": ""e_actor_2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor_1"", ""e_actor_2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor_1"", ""e_actor_2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_2"" }
                      },
                      {
                        ""not_condition"": {
                          ""left"": { ""attribute_name"": ""id"", ""of"": ""e_actor_1"" },
                          ""operator"": ""="",
                          ""right"": { ""attribute_name"": ""id"", ""of"": ""e_actor_2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
3,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,166.403053,True,stop,3978,13.21969,348,152.339281,2.2844,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor_1"", ""type"": ""Person"" },
          { ""id"": ""e_actor_2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor_1"", ""e_actor_2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor_1"", ""e_actor_2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_2"" }
                      },
                      {
                        ""not"": {
                          ""left"": { ""id"": ""e_actor_1"" },
                          ""operator"": ""="",
                          ""right"": { ""id"": ""e_actor_2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
4,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,168.443196,True,stop,3978,13.138101,353,154.608303,2.2832,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor1"", ""type"": ""Person"" },
          { ""id"": ""e_actor2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor1"", ""e_actor2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor1"", ""e_actor2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor2"" }
                      },
                      {
                        ""not_condition"": {
                          ""left"": { ""attribute_name"": ""id"", ""of"": ""e_actor1"" },
                          ""operator"": ""="",
                          ""right"": { ""attribute_name"": ""id"", ""of"": ""e_actor2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
5,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,172.197861,True,stop,3978,13.144337,363,158.204946,2.2945,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor_1"", ""type"": ""Person"" },
          { ""id"": ""e_actor_2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor_1"", ""e_actor_2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor_1"", ""e_actor_2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_2"" }
                      },
                      {
                        ""not_condition"": {
                          ""left"": { ""attribute_name"": ""id"", ""of"": ""e_actor_1"" },
                          ""operator"": ""="",
                          ""right"": { ""attribute_name"": ""id"", ""of"": ""e_actor_2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
6,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,165.127562,True,stop,3978,13.228418,348,151.016716,2.3044,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor_1"", ""type"": ""Person"" },
          { ""id"": ""e_actor_2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor_1"", ""e_actor_2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor_1"", ""e_actor_2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_2"" }
                      },
                      {
                        ""not"": {
                          ""left"": { ""id"": ""e_actor_1"" },
                          ""operator"": ""="",
                          ""right"": { ""id"": ""e_actor_2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
7,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,165.115103,True,stop,3978,13.227109,348,150.97764,2.305,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor_1"", ""type"": ""Person"" },
          { ""id"": ""e_actor_2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor_1"", ""e_actor_2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor_1"", ""e_actor_2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_2"" }
                      },
                      {
                        ""not"": {
                          ""left"": { ""id"": ""e_actor_1"" },
                          ""operator"": ""="",
                          ""right"": { ""id"": ""e_actor_2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
8,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,171.013109,True,stop,3978,13.224123,363,156.852728,2.3143,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor_1"", ""type"": ""Person"" },
          { ""id"": ""e_actor_2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor_1"", ""e_actor_2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor_1"", ""e_actor_2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor_2"" }
                      },
                      {
                        ""not_condition"": {
                          ""left"": { ""attribute_name"": ""id"", ""of"": ""e_actor_1"" },
                          ""operator"": ""="",
                          ""right"": { ""attribute_name"": ""id"", ""of"": ""e_actor_2"" }
                        }
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
9,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,127.983871,True,stop,3978,10.775523,268,116.589016,2.2987,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor1"", ""type"": ""Person"" },
          { ""id"": ""e_actor2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": ""e_actor1"",
            ""to"": ""e_movie""
          },
          {
            ""id"": ""r_same_birth_year"",
            ""role"": ""same_birth_year_as"",
            ""from"": ""e_actor1"",
            ""to"": ""e_actor2""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">="",
              ""right"": 5
            },
            {
              ""all_id"": ""e_movie"",
              ""condition"": {
                ""exists"": {
                  ""id"": ""r_same_birth_year""
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
10,Q02,Which movies have more than four actors born in the same year as another actor in the cast?,phi4:14b,False,0.15,150.137483,True,stop,3978,13.234577,313,136.039456,2.3008,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor1"", ""type"": ""Person"" },
          { ""id"": ""e_actor2"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          {
            ""id"": ""r_act"",
            ""role"": ""actor_in"",
            ""from"": [""e_actor1"", ""e_actor2""],
            ""to"": ""e_movie""
          }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": { ""count_id"": ""r_act"" },
              ""operator"": "">"",
              ""right"": 4
            },
            {
              ""all_id"": [""e_actor1"", ""e_actor2""],
              ""condition"": {
                ""or_conditions"": [
                  {
                    ""and_conditions"": [
                      {
                        ""left"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor1"" },
                        ""operator"": ""="",
                        ""right"": { ""attribute_name"": ""birth_year"", ""of"": ""e_actor2"" }
                      },
                      {
                        ""not_equal_id"": [""e_actor1"", ""e_actor2""]
                      }
                    ]
                  }
                ]
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
