Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.288651,True,stop,3123,0.327509,245,42.501405,5.7645,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">="",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
2,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.425043,True,stop,3123,0.17716,245,42.819015,5.7218,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">="",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
3,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.229576,True,stop,3123,0.17741,244,42.637036,5.7227,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
4,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.270902,True,stop,3123,0.174902,244,42.643457,5.7219,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
5,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.214043,True,stop,3123,0.177283,244,42.628327,5.7239,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
6,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.420232,True,stop,3123,0.177213,245,42.827979,5.7206,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">="",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
7,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.436698,True,stop,3123,0.17588,245,42.81864,5.7218,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">="",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
8,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.267508,True,stop,3123,0.177566,244,42.639288,5.7224,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
9,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.239666,True,stop,3123,0.176732,244,42.639986,5.7223,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
10,Q01,Give me the movies that have more than four actors with the same birth year,ministral-3:8b,False,0.15,43.273134,True,stop,3123,0.175973,244,42.642984,5.7219,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            ""r_act"",
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  },
                  ""operator"": ""="",
                  ""right"": {
                    ""attribute_name"": ""birth_year"",
                    ""of"": ""e_actor""
                  }
                }
              },
              ""operator"": "">"",
              ""right"": 4
            }
          ]
        }
      }
    ]
  ]
}
```"
