Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
1,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.272342,True,stop,4096,3.572906,117,9.082486,12.8819,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""return_nodes"": true
      }
    }
  ]
}
```"
2,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.321431,True,stop,4096,3.570199,118,9.131145,12.9228,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes at distance 3 from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""max_depth"": 3,
        ""return_depth"": true
      }
    }
  ]
}
```"
3,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,12.290511,True,stop,4096,3.588837,105,8.097568,12.9669,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""hops"": 3,
        ""return_nodes"": true
      }
    }
  ]
}
```"
4,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.373069,True,stop,4096,3.593308,118,9.17326,12.8635,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes at distance 3 from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""max_depth"": 3,
        ""return_depth"": true
      }
    }
  ]
}
```"
5,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.271162,True,stop,4096,3.585388,117,9.074255,12.8936,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""direction"": ""any""
      }
    }
  ]
}
```"
6,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.377811,True,stop,4096,3.621646,118,9.138156,12.9129,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes at distance 3 from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""max_depth"": 3,
        ""return_depth"": true
      }
    }
  ]
}
```"
7,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.240222,True,stop,4096,3.568823,117,9.064892,12.9069,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""direction"": ""any""
      }
    }
  ]
}
```"
8,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.23583,True,stop,4096,3.579525,117,9.054371,12.9219,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""direction"": ""any""
      }
    }
  ]
}
```"
9,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.283463,True,stop,4096,3.615503,117,9.051024,12.9267,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""direction"": ""any""
      }
    }
  ]
}
```"
10,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.282031,True,stop,4096,3.620058,117,9.060045,12.9138,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""direction"": ""any""
      }
    }
  ]
}
```"
11,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.258673,True,stop,4096,3.588565,117,9.04537,12.9348,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""direction"": ""any""
      }
    }
  ]
}
```"
12,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.434529,True,stop,4096,3.604627,119,9.228682,12.8946,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node, using the provided starting node ID.""
    }
  ],
  ""query"": {
    ""type"": ""graph_traversal"",
    ""start_node_id"": ""6deddeddeddeddeddeddeddeddeddedded"",
    ""hops"": 3,
    ""return_nodes"": true
  }
}
```"
13,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.268199,True,stop,4096,3.589733,117,9.067521,12.9032,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""return_nodes"": true
      }
    }
  ]
}
```"
14,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.3022,True,stop,4096,3.615943,117,9.084917,12.8785,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""return_nodes"": true
      }
    }
  ]
}
```"
15,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,12.314775,True,stop,4096,3.589607,105,8.123472,12.9255,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""hops"": 3,
        ""return_nodes"": true
      }
    }
  ]
}
```"
16,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.331799,True,stop,4096,3.642053,117,9.082267,12.8822,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""return_nodes"": true
      }
    }
  ]
}
```"
17,Q06,List nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,gemma4:e4b,False,0.05,13.283076,True,stop,4096,3.58695,117,9.075986,12.8912,"```json
{
  ""hypotheses"": [
    {
      ""id"": ""h1"",
      ""description"": ""Find nodes exactly 3 hops away from the starting node."",
      ""query"": {
        ""type"": ""graph_traversal"",
        ""start_node_id"": ""start_node_id"",
        ""start_node_type"": ""Node"",
        ""hops"": 3,
        ""return_nodes"": true
      }
    }
  ]
}
```"
